1644515904048	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 528 528

1644515904055	PolyGesture	InputEvent	SelectionChanged 103 103

1644515904056	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXXXXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 103 6 0

1644515904061	PolyGesture	InputEvent	SelectionChanged 103 103

1644515904075	PolyGesture	InputEvent	BeginBatchEdit

1644515904079	PolyGesture	InputEvent	BeginBatchEdit

1644515904080	PolyGesture	InputEvent	BeginBatchEdit

1644515904085	PolyGesture	InputEvent	BeginBatchEdit

1644515904087	PolyGesture	InputEvent	BeginBatchEdit

1644515904089	PolyGesture	InputEvent	BeginBatchEdit

1644515904092	PolyGesture	InputEvent	BeginBatchEdit

1644515904293	PolyGesture	InputEvent	BeginBatchEdit

1644515904851	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=697.0, y[0]=339.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90098973, downTime=90098973, deviceId=6, source=0x1002, displayId=0 }
1644515904925	PolyGesture	InputEvent	TouchEvent (cursorPosition=103): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=697.0, y[0]=339.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90099056, downTime=90098973, deviceId=6, source=0x1002, displayId=0 }
1644515904935	PolyGesture	InputEvent	SelectionChanged 296 296

1644515904955	PolyGesture	InputEvent	BeginBatchEdit

1644515904979	PolyGesture	InputEvent	BeginBatchEdit

1644515905187	PolyGesture	InputEvent	BeginBatchEdit

1644515905188	PolyGesture	InputEvent	BeginBatchEdit

1644515905212	PolyGesture	InputEvent	BeginBatchEdit

1644515905758	PolyGesture	InputEvent	SelectionChanged 257 257

1644515905784	PolyGesture	InputEvent	BeginBatchEdit

1644515905799	PolyGesture	InputEvent	BeginBatchEdit

1644515906006	PolyGesture	InputEvent	BeginBatchEdit

1644515906008	PolyGesture	InputEvent	BeginBatchEdit

1644515906037	PolyGesture	InputEvent	BeginBatchEdit

1644515906826	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=839.0, y[0]=347.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90100949, downTime=90100949, deviceId=6, source=0x1002, displayId=0 }
