1644485044965	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 524 524

1644485044970	PolyGesture	InputEvent	SelectionChanged 259 259

1644485044971	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That XXX is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 256 4 3

1644485044976	PolyGesture	InputEvent	SelectionChanged 259 259

1644485044988	PolyGesture	InputEvent	BeginBatchEdit

1644485044990	PolyGesture	InputEvent	BeginBatchEdit

1644485044991	PolyGesture	InputEvent	BeginBatchEdit

1644485045009	PolyGesture	InputEvent	BeginBatchEdit

1644485045009	PolyGesture	InputEvent	BeginBatchEdit

1644485045010	PolyGesture	InputEvent	BeginBatchEdit

1644485045010	PolyGesture	InputEvent	BeginBatchEdit

1644485045011	PolyGesture	InputEvent	BeginBatchEdit

1644485045020	PolyGesture	InputEvent	BeginBatchEdit

1644485045021	PolyGesture	InputEvent	BeginBatchEdit

1644485045022	PolyGesture	InputEvent	BeginBatchEdit

1644485045023	PolyGesture	InputEvent	BeginBatchEdit

